course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2044,CourseTalk,Animal Behaviour and Welfare,Coursera,University of Edinburgh,Life Sciences,Animals and Veterinary Science,30,NA,7,2,2,2,TRUE,0,0,1,0,1307.5,2,4.5,2,3,5,635.652381,2.08E-06,4.79E-05,0.100027033,0.361258239,9,0,12659
CourseTalk-2045,CourseTalk,Introductory Human Physiology,Coursera,Duke University,Life Sciences,Biology,30,NA,10,7,0,3,TRUE,0,0,1,0,644,1,5,1,1,2,0,0,1.54E-05,4.93E-05,1.000039419,5,0,50038
CourseTalk-2047,CourseTalk,Genes and the Human Condition (From Behavior to Biotechnology),Coursera,"University of Maryland, College Park",Life Sciences,Biology,30,NA,8,6.5,0,3,TRUE,0,0,1,0,379,1,5,1,1,2,0,0,1.54E-05,4.93E-05,1.000039419,5,0,50490
CourseTalk-2048,CourseTalk,Constitutional Struggles in the Muslim World,Coursera,University of Copenhagen,Social Sciences,Law,30,NA,10,10,1,3,TRUE,0,0,1,0,707,1,5,0,1,1,0,0,1.50E-05,0,1.000039419,5,0,50831
CourseTalk-2049,CourseTalk,Finding Mutations in DNA and Proteins (Bioinformatics VI),Coursera,"University of California, San Diego",Life Sciences,Bioinformatics,30,Introductory,6,7,3,4,TRUE,0,0,1,0,3041,1,5,1,2,3,506,0.004218382,1.89E-05,7.48E-05,0.555774909,5,NA,69292
CourseTalk-2050,CourseTalk,Calculus: Single Variable Part 1 - Functions,Coursera,University of Pennsylvania,Math and Logic,Math and Logic,NA,NA,4,7,3,3,TRUE,0,0,1,0,721,1,5,2,2,4,2087,0,1.53E-05,4.93E-05,0.500039419,5,0,51309
CourseTalk-2051,CourseTalk,Moralities of Everyday Life,Coursera,Yale University,Social Sciences,Psychology,30,NA,6,10,1,1,TRUE,0,0,1,0.416666667,502.75,12,4.875,7,5,12,2153.566626,0.167357027,0.000119517,3.05E-05,0.138958212,58.5,10.5,1177
CourseTalk-2051,CourseTalk,Moralities of Everyday Life,Coursera,Yale University,Social Sciences,Psychology,30,NA,6,10,1,2,TRUE,0.333333333,0,0.666666667,0,1265.666667,3,3.5,3,3,6,1117.153927,7.93E-05,4.79E-05,2.70E-05,0.333480461,10.5,5,1177
CourseTalk-2051,CourseTalk,Moralities of Everyday Life,Coursera,Yale University,Social Sciences,Psychology,30,NA,6,10,1,3,TRUE,0,0,1,0,173,1,5,2,2,4,1070,0,1.54E-05,4.93E-05,0.500039419,5,0,1177
CourseTalk-2052,CourseTalk,Calculus: Single Variable Part 4 - Applications,Coursera,University of Pennsylvania,Math and Logic,Math and Logic,NA,NA,5,7,3,3,TRUE,0,0,1,0,491,1,5,2,2,4,1033,0,1.52E-05,4.93E-05,0.500039419,5,0,51305
